日期,A厂,B厂
2020/11/01,216,253
2020/11/02,441,254
2020/11/03,157,772
2020/11/04,228,681
2020/11/05,721,975
2020/11/06,962,980
2020/11/07,144,731
2020/11/08,611,181
2020/11/09,930,423
2020/11/10,769,778
2020/11/11,633,624
2020/11/12,449,303
2020/11/13,252,728
2020/11/14,496,939
2020/11/15,602,461
2020/11/16,298,808
2020/11/17,202,293
2020/11/18,170,843
2020/11/19,645,200
2020/11/20,713,642
2020/11/21,875,778
2020/11/22,357,482
2020/11/23,466,987
2020/11/24,581,273
2020/11/25,480,430
2020/11/26,841,296
2020/11/27,510,959
2020/11/28,806,349
2020/11/29,583,809
2020/11/30,163,518
2020/12/01,661,711
2020/12/02,756,934
2020/12/03,790,212
2020/12/04,922,260
2020/12/05,479,187
2020/12/06,536,376
2020/12/07,961,922
2020/12/08,732,738
2020/12/09,105,405
2020/12/10,405,786
2020/12/11,522,463
2020/12/12,846,643
2020/12/13,498,667
2020/12/14,939,760
2020/12/15,441,760
2020/12/16,170,235
2020/12/17,269,520
2020/12/18,633,423
2020/12/19,346,155
2020/12/20,125,368
2020/12/21,726,463
2020/12/22,776,534
2020/12/23,465,841
2020/12/24,974,861
2020/12/25,119,865
2020/12/26,285,681
2020/12/27,182,742
2020/12/28,830,913
2020/12/29,652,171
2020/12/30,921,573
2020/12/31,623,205
2021/01/01,503,920
2021/01/02,946,597
2021/01/03,117,798
2021/01/04,445,442
2021/01/05,278,922
2021/01/06,107,235
2021/01/07,345,616
2021/01/08,599,471
2021/01/09,639,529
2021/01/10,336,704
2021/01/11,219,390
2021/01/12,547,652
2021/01/13,877,628
2021/01/14,712,272
2021/01/15,589,665
2021/01/16,459,765
2021/01/17,637,895
2021/01/18,555,686
2021/01/19,696,657
2021/01/20,255,542
2021/01/21,865,698
2021/01/22,559,426
2021/01/23,767,919
2021/01/24,375,587
2021/01/25,771,734
2021/01/26,406,552
2021/01/27,338,408
2021/01/28,445,957
2021/01/29,511,119
2021/01/30,758,513
2021/01/31,214,354
2021/02/01,900,830
2021/02/02,504,709
2021/02/03,579,526
2021/02/04,699,295
2021/02/05,487,763
2021/02/06,837,214
2021/02/07,207,709
2021/02/08,221,465
2021/02/09,632,191
2021/02/10,246,185
2021/02/11,983,891
2021/02/12,202,156
2021/02/13,682,246
2021/02/14,394,655
2021/02/15,469,476
2021/02/16,446,732
2021/02/17,793,987
2021/02/18,334,588
2021/02/19,418,724
2021/02/20,321,205
2021/02/21,510,167
2021/02/22,531,318
2021/02/23,575,366
2021/02/24,928,383
2021/02/25,747,848
2021/02/26,645,380
2021/02/27,829,373
2021/02/28,521,417
2021/03/01,323,930
2021/03/02,276,862
2021/03/03,850,991
2021/03/04,289,217
2021/03/05,546,235
2021/03/06,196,118
2021/03/07,728,431
2021/03/08,659,966
2021/03/09,129,395
2021/03/10,829,531
2021/03/11,139,917
2021/03/12,935,366
2021/03/13,856,996
2021/03/14,244,373
2021/03/15,999,266
2021/03/16,842,263
2021/03/17,530,333
2021/03/18,547,355
2021/03/19,623,817
2021/03/20,525,639
2021/03/21,695,534
2021/03/22,829,694
2021/03/23,645,784
2021/03/24,975,726
2021/03/25,503,119
2021/03/26,243,871
2021/03/27,202,941
2021/03/28,853,985
2021/03/29,623,901
2021/03/30,893,692
2021/03/31,572,885
