日期,A厂,B厂
2018/01/01,200692.0,189490.0
2018/01/02,218365.0,211147.0
2018/01/03,224501.0,217767.0
2018/01/04,216431.0,212636.0
2018/01/05,200447.0,209427.0
2018/01/06,197836.0,186227.0
2018/01/07,198552.0,196925.0
2018/01/08,197743.0,189568.0
2018/01/09,191391.0,185183.0
2018/01/10,197122.0,200296.0
2018/01/11,216672.0,199925.0
2018/01/12,203256.0,200445.0
2018/01/13,217197.0,192363.0
2018/01/14,216570.0,208338.0
2018/01/15,207931.0,213297.0
2018/01/16,234678.0,205303.0
2018/01/17,226505.0,206283.0
2018/01/18,211227.0,207229.0
2018/01/19,208865.0,201366.0
2018/01/20,216786.0,197881.0
2018/01/21,211369.0,201530.0
2018/01/22,214322.0,203548.0
2018/01/23,206493.0,197768.0
2018/01/24,211523.0,205212.0
2018/01/25,201931.0,198018.0
2018/01/26,181994.0,197085.0
2018/01/27,197412.0,196739.0
2018/01/28,182203.0,190658.0
2018/01/29,172882.0,179159.0
2018/01/30,171839.0,180975.0
2018/01/31,166380.0,175275.0
2018/02/01,175677.0,190046.0
2018/02/02,171892.0,174049.0
2018/02/03,161611.0,172182.0
2018/02/04,176800.0,173364.0
2018/02/05,171490.0,175899.0
2018/02/06,165450.0,181139.0
2018/02/07,155891.0,168957.0
2018/02/08,163069.0,166857.0
2018/02/09,147908.0,149671.0
2018/02/10,134836.0,138836.0
2018/02/11,112335.0,126067.0
2018/02/12,96845.0,120781.0
2018/02/13,134252.0,103055.0
2018/02/14,148848.0,95578.0
2018/02/15,139806.0,97482.0
2018/02/16,121030.0,81818.0
2018/02/17,120634.0,83329.0
2018/02/18,124346.0,86057.0
2018/02/19,132538.0,89730.0
2018/02/20,142970.0,95284.0
2018/02/21,155954.0,102919.0
2018/02/22,172507.0,108537.0
2018/02/23,194389.0,128034.0
2018/02/24,206794.0,133179.0
2018/02/25,226482.0,147710.0
2018/02/26,235394.0,158383.0
2018/02/27,241980.0,158413.0
2018/02/28,250602.0,166308.0
2018/03/01,261774.0,170084.0
2018/03/02,248291.0,171298.0
2018/03/03,255822.0,166507.0
2018/03/04,259524.0,168043.0
2018/03/05,275738.0,183625.0
2018/03/06,264037.0,177047.0
2018/03/07,260783.0,175578.0
2018/03/08,241719.0,163604.0
2018/03/09,261092.0,172739.0
2018/03/10,264185.0,173398.0
2018/03/11,268592.0,179496.0
2018/03/12,272312.0,182226.0
2018/03/13,276584.0,184356.0
2018/03/14,265517.0,175321.0
2018/03/15,262525.0,184864.0
2018/03/16,273040.0,179317.0
2018/03/17,264503.0,174302.0
2018/03/18,277232.0,181118.0
2018/03/19,271441.0,178038.0
2018/03/20,266702.0,174030.0
2018/03/21,275413.0,180719.0
2018/03/22,279361.0,181401.0
2018/03/23,273488.0,182427.0
2018/03/24,277822.0,173911.0
2018/03/25,285159.0,178820.0
2018/03/26,283489.0,178919.0
2018/03/27,274005.0,193738.0
2018/03/28,269927.0,201653.0
2018/03/29,269758.0,197246.0
2018/03/30,269459.0,198072.0
2018/03/31,263855.0,196384.0
2018/04/01,272845.0,203315.0
2018/04/02,276202.0,200739.0
2018/04/03,272489.0,206517.0
2018/04/04,258847.0,195583.0
2018/04/05,240529.0,180670.0
2018/04/06,237084.0,174156.0
2018/04/07,246111.0,182742.0
2018/04/08,229977.0,201778.0
2018/04/09,243209.0,196839.0
2018/04/10,244738.0,199316.0
2018/04/11,245213.0,202381.0
2018/04/12,240786.0,201712.0
2018/04/13,238099.0,204129.0
2018/04/14,254491.0,186061.0
2018/04/15,220682.0,171292.0
2018/04/16,209871.0,175144.0
2018/04/17,250291.0,196017.0
2018/04/18,270222.0,202645.0
2018/04/19,282232.0,197421.0
2018/04/20,275744.0,205497.0
2018/04/21,277738.0,201284.0
2018/04/22,289924.0,201344.0
2018/04/23,280037.0,209395.0
2018/04/24,269575.0,198295.0
2018/04/25,275019.0,194648.0
2018/04/26,269564.0,193392.0
2018/04/27,272744.0,191601.0
2018/04/28,278501.0,191040.0
2018/04/29,266812.0,186814.0
2018/04/30,271013.0,182443.0
2018/05/01,272229.0,190216.0
2018/05/02,292358.0,215772.0
2018/05/03,270280.0,200880.0
2018/05/04,249409.0,186255.0
2018/05/05,262965.0,190722.0
2018/05/06,266964.0,192799.0
2018/05/07,241986.0,204903.0
2018/05/08,258606.0,192130.0
2018/05/09,247950.0,190389.0
2018/05/10,240404.0,198530.0
2018/05/11,238188.0,199917.0
2018/05/12,219946.0,211781.0
2018/05/13,219806.0,214332.0
2018/05/14,223007.0,231447.0
2018/05/15,220381.0,240557.0
2018/05/16,242458.0,237171.0
2018/05/17,256392.0,232967.0
2018/05/18,260948.0,234797.0
2018/05/19,275488.0,226146.0
2018/05/20,274851.0,220844.0
2018/05/21,270385.0,224756.0
2018/05/22,269762.0,225425.0
2018/05/23,277615.0,226635.0
2018/05/24,278091.0,220377.0
2018/05/25,280100.0,218484.0
2018/05/26,267666.0,219295.0
2018/05/27,283455.0,219956.0
2018/05/28,274974.0,227562.0
2018/05/29,281224.0,227939.0
2018/05/30,283653.0,232012.0
2018/05/31,283968.0,236013.0
2018/06/01,274040.0,212922.0
2018/06/02,278431.0,215919.0
2018/06/03,275825.0,220684.0
2018/06/04,285644.0,221906.0
2018/06/05,268239.0,199201.0
2018/06/06,265343.0,200324.0
2018/06/07,243438.0,195536.0
2018/06/08,237479.0,196416.0
2018/06/09,239237.0,207365.0
2018/06/10,262607.0,224747.0
2018/06/11,258176.0,230911.0
2018/06/12,237389.0,217340.0
2018/06/13,237251.0,217661.0
2018/06/14,227717.0,221977.0
2018/06/15,227248.0,217972.0
2018/06/16,236444.0,215325.0
2018/06/17,234637.0,205530.0
2018/06/18,240945.0,204700.0
2018/06/19,238278.0,218498.0
2018/06/20,252008.0,234382.0
2018/06/21,254607.0,224852.0
2018/06/22,240133.0,215058.0
2018/06/23,234549.0,207387.0
2018/06/24,250485.0,214774.0
2018/06/25,258295.0,219901.0
2018/06/26,261616.0,223402.0
2018/06/27,233728.0,226096.0
2018/06/28,249703.0,228924.0
2018/06/29,252332.0,229702.0
2018/06/30,240701.0,226518.0
2018/07/01,243514.0,221855.0
2018/07/02,236139.0,225293.0
2018/07/03,248348.0,225510.0
2018/07/04,251115.0,229130.0
2018/07/05,233982.0,222216.0
2018/07/06,251211.0,223586.0
2018/07/07,247114.0,219164.0
2018/07/08,246383.0,218649.0
2018/07/09,249967.0,227623.0
2018/07/10,232980.0,235466.0
2018/07/11,246271.0,238630.0
2018/07/12,251329.0,236608.0
2018/07/13,223674.0,223587.0
2018/07/14,239744.0,220116.0
2018/07/15,231906.0,213086.0
2018/07/16,232709.0,229910.0
2018/07/17,260918.0,208527.0
2018/07/18,233149.0,200360.0
2018/07/19,248720.0,207229.0
2018/07/20,249523.0,206595.0
2018/07/21,242559.0,203521.0
2018/07/22,254550.0,203448.0
2018/07/23,250209.0,204709.0
2018/07/24,247447.0,206595.0
2018/07/25,250440.0,205396.0
2018/07/26,243168.0,207935.0
2018/07/27,248680.0,206796.0
2018/07/28,253777.0,208062.0
2018/07/29,243766.0,206482.0
2018/07/30,258101.0,227590.0
2018/07/31,252104.0,236709.0
2018/08/01,255840.0,238418.0
2018/08/02,267274.0,235455.0
2018/08/03,259327.0,230192.0
2018/08/04,258968.0,227474.0
2018/08/05,265689.0,228277.0
2018/08/06,261135.0,234826.0
2018/08/07,274356.0,232800.0
2018/08/08,275438.0,235765.0
2018/08/09,268466.0,232772.0
2018/08/10,257769.0,222545.0
2018/08/11,244398.0,218018.0
2018/08/12,259785.0,220762.0
2018/08/13,272304.0,233557.0
2018/08/14,253483.0,228098.0
2018/08/15,264462.0,221085.0
2018/08/16,259324.0,223043.0
2018/08/17,261142.0,221065.0
2018/08/18,257344.0,223595.0
2018/08/19,248243.0,216891.0
2018/08/20,262508.0,226806.0
2018/08/21,264507.0,227502.0
2018/08/22,250930.0,226509.0
2018/08/23,265746.0,227694.0
2018/08/24,270017.0,230477.0
2018/08/25,263626.0,229116.0
2018/08/26,262001.0,224646.0
2018/08/27,254970.0,226211.0
2018/08/28,253485.0,218105.0
2018/08/29,247712.0,214115.0
2018/08/30,242386.0,216422.0
2018/08/31,247446.0,216840.0
2018/09/01,247507.0,219410.0
2018/09/02,250630.0,222502.0
2018/09/03,257268.0,229385.0
2018/09/04,260564.0,238010.0
2018/09/05,260736.0,236336.0
2018/09/06,259630.0,238540.0
2018/09/07,246134.0,227964.0
2018/09/08,247485.0,226204.0
2018/09/09,246551.0,222982.0
2018/09/10,252111.0,234748.0
2018/09/11,256038.0,233185.0
2018/09/12,247528.0,232777.0
2018/09/13,253177.0,235596.0
2018/09/14,268586.0,218883.0
2018/09/15,254172.0,220514.0
2018/09/16,227704.0,211784.0
2018/09/17,264146.0,240638.0
2018/09/18,256892.0,239513.0
2018/09/19,261560.0,240273.0
2018/09/20,265508.0,237621.0
2018/09/21,286461.0,237733.0
2018/09/22,264099.0,233642.0
2018/09/23,229375.0,220702.0
2018/09/24,243160.0,211386.0
2018/09/25,244776.0,228312.0
2018/09/26,256429.0,240341.0
2018/09/27,262806.0,221864.0
2018/09/28,226972.0,250734.0
2018/09/29,236423.0,235902.0
2018/09/30,225611.0,220960.0
2018/10/01,216380.0,171792.0
2018/10/02,219190.0,166702.0
2018/10/03,216848.0,171634.0
2018/10/04,228336.0,189060.0
2018/10/05,234687.0,195400.0
2018/10/06,238457.0,195022.0
2018/10/07,229147.0,202993.0
2018/10/08,229345.0,206583.0
2018/10/09,222101.0,206965.0
2018/10/10,220437.0,195155.0
2018/10/11,213954.0,193466.0
2018/10/12,219500.0,195874.0
2018/10/13,223550.0,196715.0
2018/10/14,220720.0,197169.0
2018/10/15,231095.0,200840.0
2018/10/16,216725.0,195109.0
2018/10/17,195014.0,191223.0
2018/10/18,217211.0,190693.0
2018/10/19,229977.0,202496.0
2018/10/20,237774.0,196942.0
2018/10/21,236213.0,201931.0
2018/10/22,221724.0,198919.0
2018/10/23,228086.0,198358.0
2018/10/24,232661.0,201609.0
2018/10/25,208912.0,223304.0
2018/10/26,231775.0,233679.0
2018/10/27,239095.0,236113.0
2018/10/28,239279.0,234023.0
2018/10/29,244854.0,238843.0
2018/10/30,238592.0,241774.0
2018/10/31,230761.0,257401.0
2018/11/01,219717.0,258710.0
2018/11/02,227088.0,254078.0
2018/11/03,252728.0,256265.0
2018/11/04,253113.0,255600.0
2018/11/05,261016.0,268282.0
2018/11/06,275900.0,270193.0
2018/11/07,265538.0,272567.0
2018/11/08,262975.0,266200.0
2018/11/09,260677.0,263859.0
2018/11/10,249601.0,263799.0
2018/11/11,272845.0,261717.0
2018/11/12,273648.0,262929.0
2018/11/13,261122.0,262922.0
2018/11/14,270042.0,260373.0
2018/11/15,258445.0,263078.0
2018/11/16,248736.0,264855.0
2018/11/17,237927.0,251877.0
2018/11/18,235998.0,261744.0
2018/11/19,253194.0,252450.0
2018/11/20,242669.0,266409.0
2018/11/21,237765.0,265254.0
2018/11/22,262044.0,197641.0
2018/11/23,263658.0,187962.0
2018/11/24,267697.0,189405.0
2018/11/25,255256.0,176749.0
2018/11/26,251412.0,188393.0
2018/11/27,260226.0,183349.0
2018/11/28,231633.0,185708.0
2018/11/29,233457.0,191325.0
2018/11/30,237400.0,188450.0
2018/12/01,229783.0,187032.0
2018/12/02,242421.0,189172.0
2018/12/03,227285.0,195016.0
2018/12/04,237187.0,194413.0
2018/12/05,238373.0,188558.0
2018/12/06,233866.0,191232.0
2018/12/07,218812.0,213938.0
2018/12/08,229010.0,212226.0
2018/12/09,217523.0,210761.0
2018/12/10,236146.0,219798.0
2018/12/11,235319.0,219079.0
2018/12/12,188155.0,214343.0
2018/12/13,179987.0,212326.0
2018/12/14,182824.0,211132.0
2018/12/15,183272.0,214928.0
2018/12/16,176523.0,210891.0
2018/12/17,179757.0,220405.0
2018/12/18,194498.0,221902.0
2018/12/19,230660.0,201808.0
2018/12/20,253448.0,190125.0
2018/12/21,268542.0,188731.0
2018/12/22,262730.0,188957.0
2018/12/23,245387.0,177411.0
2018/12/24,239337.0,178531.0
2018/12/25,248300.0,182093.0
2018/12/26,262028.0,188068.0
2018/12/27,256259.0,182764.0
2018/12/28,244056.0,178368.0
2018/12/29,238406.0,165756.0
