日期,A厂,B厂
2020/11/01,270338,237347
2020/11/02,269113,243637
2020/11/03,269197,239925
2020/11/04,267300,235169
2020/11/05,266541,237643
2020/11/06,269638,236065
2020/11/07,272502,234795
2020/11/08,271957,234469
2020/11/09,270630,240029
2020/11/10,268223,244185
2020/11/11,266595,242683
2020/11/12,264198,242638
2020/11/13,264101,236960
2020/11/14,260568,234137
2020/11/15,261901,234493
2020/11/16,260357,240305
2020/11/17,259452,246516
2020/11/18,258962,240900
2020/11/19,256821,239066
2020/11/20,252848,240129
2020/11/21,234775,243277
2020/11/22,230524,237328
2020/11/23,224148,238593
2020/11/24,224270,239264
2020/11/25,223584,237659
2020/11/26,220888,237562
2020/11/27,210912,234622
2020/11/28,207960,234851
2020/11/29,207379,237746
2020/11/30,207324,236041
2020/12/01,211155,233228
2020/12/02,215843,227957
2020/12/03,214745,219302
2020/12/04,211537,212160
2020/12/05,212117,209679
2020/12/06,217942,202923
2020/12/07,214352,204416
2020/12/08,213803,203647
2020/12/09,211174,202664
2020/12/10,209990,209636
2020/12/11,209302,210377
2020/12/12,208780,207392
2020/12/13,209040,207919
2020/12/14,205747,208461
2020/12/15,208649,206613
2020/12/16,208312,202274
2020/12/17,208075,199456
2020/12/18,207377,205071
2020/12/19,208436,200529
2020/12/20,208787,199545
2020/12/21,207767,200801
2020/12/22,205058,199839
2020/12/23,204160,198583
2020/12/24,204327,203187
2020/12/25,202242,200024
2020/12/26,200790,199678
2020/12/27,198321,201712
2020/12/28,194934,199838
2020/12/29,191478,197376
2020/12/30,187799,195626
2020/12/31,185885,194003
2021/01/01,219510,216036
2021/01/02,222909,220495
2021/01/03,223996,224938
2021/01/04,243219,220569
2021/01/05,238355,220178
2021/01/06,235199,219389
2021/01/07,227683,219291
2021/01/08,225990,218889
2021/01/09,226750,218135
2021/01/10,229413,219742
2021/01/11,230121,221608
2021/01/12,223845,221245
2021/01/13,218518,221734
2021/01/14,210245,221453
2021/01/15,206046,220483
2021/01/16,212339,218860
2021/01/17,220882,218805
2021/01/18,210991,219291
2021/01/19,211204,217362
2021/01/20,212739,216346
2021/01/21,203824,201346
2021/01/22,195177,199352
2021/01/23,192845,196576
2021/01/24,192248,195255
2021/01/25,177348,191159
2021/01/26,176346,188253
2021/01/27,176888,185008
2021/01/28,177071,182336
2021/01/29,179829,176639
2021/01/30,180773,170342
2021/01/31,182012,163888
2021/02/01,192657,156817
2021/02/02,193969,154600
2021/02/03,188836,153384
2021/02/04,188580,151331
2021/02/05,185758,148412
2021/02/06,182460,143028
2021/02/07,183683,142470
2021/02/08,182799,139970
2021/02/09,190454,143383
2021/02/10,192979,143269
2021/02/11,181856,134424
2021/02/12,178877,127348
2021/02/13,179216,124747
2021/02/14,176696,118911
2021/02/15,194178,125791
2021/02/16,206610,132418
2021/02/17,237977,164691
2021/02/18,245164,177231
2021/02/19,250708,183804
2021/02/20,258966,183362
2021/02/21,269920,182335
2021/02/22,279082,198332
2021/02/23,282983,201015
2021/02/24,292290,205803
2021/02/25,288368,206742
2021/02/26,287431,210181
2021/02/27,293989,209461
2021/02/28,305336,214159
2021/03/01,306930,229207
2021/03/02,312534,230493
2021/03/03,304553,231915
2021/03/04,299005,232354
2021/03/05,299844,232633
2021/03/06,302761,228840
2021/03/07,307023,230774
2021/03/08,301502,243715
2021/03/09,302833,243819
2021/03/10,301707,245602
2021/03/11,299714,245875
2021/03/12,304670,246021
2021/03/13,307585,245640
2021/03/14,308698,248143
2021/03/15,310432,252075
2021/03/16,312580,252231
2021/03/17,312308,252798
2021/03/18,304898,252706
2021/03/19,298121,252477
2021/03/20,305501,251806
2021/03/21,306361,253746
2021/03/22,302778,256032
2021/03/23,301883,255505
2021/03/24,302547,255530
2021/03/25,294385,254600
2021/03/26,290062,254101
2021/03/27,296200,254474
2021/03/28,298541,255556
2021/03/29,304362,256910
2021/03/30,303664,256423
2021/03/31,307821,256011
