日期,A厂,B厂
2020/11/01,272186,236361
2020/11/02,266976,243226
2020/11/03,268541,240503
2020/11/04,266992,236450
2020/11/05,267706,238724
2020/11/06,267772,236639
2020/11/07,268283,237201
2020/11/08,268799,235912
2020/11/09,268142,242740
2020/11/10,268321,243119
2020/11/11,267698,241506
2020/11/12,265891,239065
2020/11/13,265930,238655
2020/11/14,265967,237952
2020/11/15,266264,237972
2020/11/16,263913,243671
2020/11/17,264363,243293
2020/11/18,262819,239959
2020/11/19,260396,240179
2020/11/20,257341,237457
2020/11/21,257004,236448
2020/11/22,256513,231415
2020/11/23,250082,234998
2020/11/24,235827,231502
2020/11/25,228423,227966
2020/11/26,223426,223160
2020/11/27,221049,216910
2020/11/28,211901,212638
2020/11/29,209599,211484
2020/11/30,201311,213534
2020/12/01,203121,213877
2020/12/02,203802,212093
2020/12/03,203981,211789
2020/12/04,207235,211504
2020/12/05,207966,205648
2020/12/06,209631,204848
2020/12/07,212832,208627
2020/12/08,218491,208902
2020/12/09,218268,204749
2020/12/10,217602,205144
2020/12/11,213061,206739
2020/12/12,215038,203861
2020/12/13,214975,205080
2020/12/14,213789,207450
2020/12/15,216478,210711
2020/12/16,216953,206464
2020/12/17,214704,207968
2020/12/18,214004,205887
2020/12/19,214201,199938
2020/12/20,214653,200865
2020/12/21,214245,204541
2020/12/22,212890,205810
2020/12/23,212067,204261
2020/12/24,208600,203198
2020/12/25,205441,200125
2020/12/26,203000,199012
2020/12/27,203256,201416
2020/12/28,201548,205268
2020/12/29,199311,207330
2020/12/30,197273,201908
2020/12/31,194603,201219
2021/01/01,219510,216036
2021/01/02,222909,220495
2021/01/03,223996,224938
2021/01/04,243219,220569
2021/01/05,238355,220178
2021/01/06,235199,219389
2021/01/07,227683,219291
2021/01/08,225990,218889
2021/01/09,226750,218135
2021/01/10,229413,219742
2021/01/11,230121,221608
2021/01/12,223845,221245
2021/01/13,218518,221734
2021/01/14,210245,221453
2021/01/15,206046,220483
2021/01/16,212339,218860
2021/01/17,220882,218805
2021/01/18,210991,219291
2021/01/19,211204,217362
2021/01/20,212739,216346
2021/01/21,203824,201346
2021/01/22,195177,199352
2021/01/23,192845,196576
2021/01/24,192248,195255
2021/01/25,177348,191159
2021/01/26,176346,188253
2021/01/27,176888,185008
2021/01/28,177071,182336
2021/01/29,179829,176639
2021/01/30,180773,170342
2021/01/31,182012,163888
2021/02/01,192657,156817
2021/02/02,193969,154600
2021/02/03,188836,153384
2021/02/04,188580,151331
2021/02/05,185758,148412
2021/02/06,182460,143028
2021/02/07,183683,142470
2021/02/08,182799,139970
2021/02/09,190454,143383
2021/02/10,192979,143269
2021/02/11,181856,134424
2021/02/12,178877,127348
2021/02/13,179216,124747
2021/02/14,176696,118911
2021/02/15,194178,125791
2021/02/16,206610,132418
2021/02/17,237977,164691
2021/02/18,245164,177231
2021/02/19,250708,183804
2021/02/20,258966,183362
2021/02/21,269920,182335
2021/02/22,279082,198332
2021/02/23,282983,201015
2021/02/24,292290,205803
2021/02/25,288368,206742
2021/02/26,287431,210181
2021/02/27,293989,209461
2021/02/28,305336,214159
2021/03/01,306930,229207
2021/03/02,312534,230493
2021/03/03,304553,231915
2021/03/04,299005,232354
2021/03/05,299844,232633
2021/03/06,302761,228840
2021/03/07,307023,230774
2021/03/08,301502,243715
2021/03/09,302833,243819
2021/03/10,301707,245602
2021/03/11,299714,245875
2021/03/12,304670,246021
2021/03/13,307585,245640
2021/03/14,308698,248143
2021/03/15,310432,252075
2021/03/16,312580,252231
2021/03/17,312308,252798
2021/03/18,304898,252706
2021/03/19,298121,252477
2021/03/20,305501,251806
2021/03/21,306361,253746
2021/03/22,302778,256032
2021/03/23,301883,255505
2021/03/24,302547,255530
2021/03/25,294385,254600
2021/03/26,290062,254101
2021/03/27,296200,254474
2021/03/28,298541,255556
2021/03/29,304362,256910
2021/03/30,303664,256423
2021/03/31,307821,256011
