features,gain
WKD_TYP_CD,909079032.0
abs_month,8416730678.0
day_of_month,17996211064.0
day_of_week,4695348086.0
day_of_year,14570985482.0
is_Fri,129504300.0
is_Mon,6688480.0
is_Sat,24111000.0
is_Sun,259884992.0
is_Thu,3118555440.0
is_Tue,44998000.0
is_Wed,46785100.0
is_month_end,0.0
is_month_start,0.0
is_wknd,41666100.0
lag_A_1,1959768645550.0
lag_A_15,7763351552.0
lag_A_2,305059990448.0
lag_A_3,9761235102.0
lag_A_30,18820540506.0
lag_A_5,30510921012.0
lag_A_7,5229745208.0
month,2134887800.0
new_lag_rolling_mean_A_15,2350749590.0
new_lag_rolling_mean_A_2,7164952940.0
new_lag_rolling_mean_A_3,4523059334.0
new_lag_rolling_mean_A_30,7840987934.0
new_lag_rolling_mean_A_5,10619311820.0
new_lag_rolling_mean_A_7,8642479858.0
new_lag_rolling_std_A_15,17453973076.0
new_lag_rolling_std_A_2,11563301264.0
new_lag_rolling_std_A_3,17856840236.0
new_lag_rolling_std_A_30,5198769868.0
new_lag_rolling_std_A_5,13886946286.0
new_lag_rolling_std_A_7,10139227468.0
quarter,153236000.0
quarter_block_num,3081578016.0
rolling_mean_A_15,4726105268.0
rolling_mean_A_2,3736536298.0
rolling_mean_A_3,4139598296.0
rolling_mean_A_30,5771733924.0
rolling_mean_A_5,5045355890.0
rolling_mean_A_7,4939906938.0
rolling_std_A_15,10595543272.0
rolling_std_A_2,9399587930.0
rolling_std_A_3,8857563320.0
rolling_std_A_30,4641412108.0
rolling_std_A_5,8622045392.0
rolling_std_A_7,9800051142.0
week_block_num,35333804594.0
week_of_month,1137599984.0
week_of_year,22350391602.0
year,0.0
