features,gain
WKD_TYP_CD,214128900.0
abs_month,8396061888.0
day_of_month,2650711640.0
day_of_week,6145855984.0
day_of_year,10917244144.0
is_Fri,567426992.0
is_Mon,657752000.0
is_Sat,695833984.0
is_Sun,0.0
is_Thu,0.0
is_Tue,99131296.0
is_Wed,190068992.0
is_month_end,0.0
is_month_start,0.0
is_wknd,388174016.0
lag_B_1,3211279453400.0
lag_B_15,4078375624.0
lag_B_2,465580728976.0
lag_B_3,25941444096.0
lag_B_30,45338625116.0
lag_B_5,11865448784.0
lag_B_7,880246612.0
month,338956992.0
new_lag_rolling_mean_B_15,2663918640.0
new_lag_rolling_mean_B_2,1090912992.0
new_lag_rolling_mean_B_3,4765472836.0
new_lag_rolling_mean_B_30,539635008.0
new_lag_rolling_mean_B_5,4180149888.0
new_lag_rolling_mean_B_7,298083008.0
new_lag_rolling_std_B_15,6479238320.0
new_lag_rolling_std_B_2,4518895524.0
new_lag_rolling_std_B_3,8719080000.0
new_lag_rolling_std_B_30,5174286480.0
new_lag_rolling_std_B_5,4050140516.0
new_lag_rolling_std_B_7,1185531016.0
quarter,0.0
quarter_block_num,336216000.0
rolling_mean_B_15,6063268112.0
rolling_mean_B_2,3192799008.0
rolling_mean_B_3,2197970992.0
rolling_mean_B_30,1632364992.0
rolling_mean_B_5,2564169984.0
rolling_mean_B_7,2684055552.0
rolling_std_B_15,5260849360.0
rolling_std_B_2,12270883648.0
rolling_std_B_3,4249186024.0
rolling_std_B_30,19432095496.0
rolling_std_B_5,2495472256.0
rolling_std_B_7,550994992.0
week_block_num,14156580920.0
week_of_month,0.0
week_of_year,122017939928.0
year,0.0
