日期,A厂,B厂
2020/11/01,272186,236361
2020/11/02,266976,243226
2020/11/03,268541,240503
2020/11/04,266992,236450
2020/11/05,267706,238724
2020/11/06,267772,236639
2020/11/07,268283,237201
2020/11/08,268799,235912
2020/11/09,268142,242740
2020/11/10,268321,243119
2020/11/11,267698,241506
2020/11/12,265891,239065
2020/11/13,265930,238655
2020/11/14,265967,237952
2020/11/15,266264,237972
2020/11/16,263913,243671
2020/11/17,264363,243293
2020/11/18,262819,239959
2020/11/19,260396,240179
2020/11/20,257341,237457
2020/11/21,257004,236448
2020/11/22,256513,231415
2020/11/23,250082,234998
2020/11/24,235827,231502
2020/11/25,228423,227966
2020/11/26,223426,223160
2020/11/27,221049,216910
2020/11/28,211901,212638
2020/11/29,209599,211484
2020/11/30,201311,213534
2020/12/01,203121,213877
2020/12/02,203802,212093
2020/12/03,203981,211789
2020/12/04,207235,211504
2020/12/05,207966,205648
2020/12/06,209631,204848
2020/12/07,212832,208627
2020/12/08,218491,208902
2020/12/09,218268,204749
2020/12/10,217602,205144
2020/12/11,213061,206739
2020/12/12,215038,203861
2020/12/13,214975,205080
2020/12/14,213789,207450
2020/12/15,216478,210711
2020/12/16,216953,206464
2020/12/17,214704,207968
2020/12/18,214004,205887
2020/12/19,214201,199938
2020/12/20,214653,200865
2020/12/21,214245,204541
2020/12/22,212890,205810
2020/12/23,212067,204261
2020/12/24,208600,203198
2020/12/25,205441,200125
2020/12/26,203000,199012
2020/12/27,203256,201416
2020/12/28,201548,205268
2020/12/29,199311,207330
2020/12/30,197273,201908
2020/12/31,188764,195182
2021/01/01,208210,197273
2021/01/02,210062,199133
2021/01/03,209211,200479
2021/01/04,209287,205807
2021/01/05,205406,212311
2021/01/06,204663,210386
2021/01/07,201669,212716
2021/01/08,205311,215351
2021/01/09,206200,213653
2021/01/10,209948,207315
2021/01/11,214005,210878
2021/01/12,210446,211807
2021/01/13,209290,213558
2021/01/14,204261,213436
2021/01/15,198625,212387
2021/01/16,208114,208937
2021/01/17,206877,210226
2021/01/18,210365,207590
2021/01/19,205995,205312
2021/01/20,205457,202316
2021/01/21,200536,195258
2021/01/22,208544,191445
2021/01/23,205658,181960
2021/01/24,207036,180396
2021/01/25,208049,178145
2021/01/26,203999,170239
2021/01/27,202538,165929
2021/01/28,199305,163329
2021/01/29,196525,157615
2021/01/30,192881,170379
2021/01/31,184933,169413
2021/02/01,186635,187195
2021/02/02,184344,182148
2021/02/03,184304,181087
2021/02/04,184879,173236
2021/02/05,181734,169103
2021/02/06,189419,161044
2021/02/07,187483,160470
2021/02/08,193760,161903
2021/02/09,188547,141700
2021/02/10,159535,140486
2021/02/11,159603,140619
2021/02/12,148834,115401
2021/02/13,170648,123837
2021/02/14,173000,132457
2021/02/15,173955,135734
2021/02/16,172157,136622
2021/02/17,197496,139245
2021/02/18,225021,170730
2021/02/19,240183,190893
2021/02/20,246375,192713
2021/02/21,249845,190654
2021/02/22,258746,208005
2021/02/23,258556,212959
2021/02/24,259044,214281
2021/02/25,266574,207074
2021/02/26,263603,216585
2021/02/27,270051,214476
2021/02/28,270059,226918
2021/03/01,273228,231310
2021/03/02,272752,237400
2021/03/03,278323,233165
2021/03/04,273604,232775
2021/03/05,270045,242020
2021/03/06,273259,237969
2021/03/07,276648,242851
2021/03/08,276472,250384
2021/03/09,273881,251581
2021/03/10,278090,252417
2021/03/11,272493,252558
2021/03/12,270668,249262
2021/03/13,268938,253777
2021/03/14,271529,255107
2021/03/15,270878,259862
2021/03/16,267101,259631
2021/03/17,272066,260466
2021/03/18,273976,258444
2021/03/19,273398,256410
2021/03/20,269996,251642
2021/03/21,270619,255604
2021/03/22,270452,257687
2021/03/23,267062,259344
2021/03/24,268157,260996
2021/03/25,268534,256629
2021/03/26,264147,256563
2021/03/27,267881,251707
2021/03/28,266586,253156
2021/03/29,272460,255575
2021/03/30,272501,255815
2021/03/31,273864,256489
