日期,A厂,B厂
2020/11/01,272186,236361
2020/11/02,266976,243226
2020/11/03,268541,240503
2020/11/04,266992,236450
2020/11/05,267706,238724
2020/11/06,267772,236639
2020/11/07,268283,237201
2020/11/08,268799,235912
2020/11/09,268142,242740
2020/11/10,268321,243119
2020/11/11,267698,241506
2020/11/12,265891,239065
2020/11/13,265930,238655
2020/11/14,265967,237952
2020/11/15,266264,237972
2020/11/16,263913,243671
2020/11/17,264363,243293
2020/11/18,262819,239959
2020/11/19,260396,240179
2020/11/20,257341,237457
2020/11/21,257004,236448
2020/11/22,256513,231415
2020/11/23,250082,234998
2020/11/24,235827,231502
2020/11/25,228423,227966
2020/11/26,223426,223160
2020/11/27,221049,216910
2020/11/28,211901,212638
2020/11/29,209599,211484
2020/11/30,201311,213534
2020/12/01,203121,213877
2020/12/02,203802,212093
2020/12/03,203981,211789
2020/12/04,207235,211504
2020/12/05,207966,205648
2020/12/06,209631,204848
2020/12/07,212832,208627
2020/12/08,218491,208902
2020/12/09,218268,204749
2020/12/10,217602,205144
2020/12/11,213061,206739
2020/12/12,215038,203861
2020/12/13,214975,205080
2020/12/14,213789,207450
2020/12/15,216478,210711
2020/12/16,216953,206464
2020/12/17,214704,207968
2020/12/18,214004,205887
2020/12/19,214201,199938
2020/12/20,214653,200865
2020/12/21,214245,204541
2020/12/22,212890,205810
2020/12/23,212067,204261
2020/12/24,208600,203198
2020/12/25,205441,200125
2020/12/26,203000,199012
2020/12/27,203256,201416
2020/12/28,201548,205268
2020/12/29,199311,207330
2020/12/30,197273,201908
2020/12/31,188764,195182
2021/01/01,208210,197273
2021/01/02,210062,199133
2021/01/03,209211,200479
2021/01/04,209287,205807
2021/01/05,205406,212311
2021/01/06,204663,210386
2021/01/07,201669,212716
2021/01/08,205311,215351
2021/01/09,206200,213653
2021/01/10,209948,207315
2021/01/11,214005,210878
2021/01/12,210446,211807
2021/01/13,209290,213558
2021/01/14,204261,213436
2021/01/15,198625,212387
2021/01/16,208114,208937
2021/01/17,206877,210226
2021/01/18,210365,207590
2021/01/19,205995,205312
2021/01/20,205457,202316
2021/01/21,200536,195258
2021/01/22,208544,191445
2021/01/23,205658,181960
2021/01/24,207036,180396
2021/01/25,208049,178145
2021/01/26,203999,170239
2021/01/27,202538,165929
2021/01/28,199305,163329
2021/01/29,196525,157615
2021/01/30,192881,170379
2021/01/31,184933,169413
2021/02/01,188501,189066
2021/02/02,186187,183969
2021/02/03,186147,182897
2021/02/04,186727,174968
2021/02/05,183551,170794
2021/02/06,191313,162654
2021/02/07,189357,162074
2021/02/08,195697,163522
2021/02/09,190432,143117
2021/02/10,161130,141890
2021/02/11,161199,142025
2021/02/12,150322,116555
2021/02/13,172354,125075
2021/02/14,174730,133781
2021/02/15,175694,137091
2021/02/16,173878,137988
2021/02/17,199470,140637
2021/02/18,227271,172437
2021/02/19,242584,192801
2021/02/20,248838,194640
2021/02/21,252343,192560
2021/02/22,261333,210085
2021/02/23,261141,215088
2021/02/24,261634,216423
2021/02/25,269239,209144
2021/02/26,266239,218750
2021/02/27,272751,216620
2021/02/28,272759,229187
2021/03/01,275960,233623
2021/03/02,275479,239774
2021/03/03,281106,235496
2021/03/04,276340,235102
2021/03/05,272745,244440
2021/03/06,275991,240348
2021/03/07,279414,245279
2021/03/08,279236,252887
2021/03/09,276619,254096
2021/03/10,280870,254941
2021/03/11,275217,255083
2021/03/12,273374,251754
2021/03/13,271627,256314
2021/03/14,274244,257658
2021/03/15,273586,262460
2021/03/16,269772,262227
2021/03/17,274786,263070
2021/03/18,276715,261028
2021/03/19,276131,258974
2021/03/20,272695,254158
2021/03/21,273325,258160
2021/03/22,273156,260263
2021/03/23,269732,261937
2021/03/24,270838,263605
2021/03/25,271219,259195
2021/03/26,266788,259128
2021/03/27,270559,254224
2021/03/28,269251,255687
2021/03/29,275184,258130
2021/03/30,275226,258373
2021/03/31,276602,259053
