日期,A厂,B厂
2020/11/01,262634,227376
2020/11/02,264562,229334
2020/11/03,265148,230754
2020/11/04,259702,236091
2020/11/05,258913,235196
2020/11/06,260465,230107
2020/11/07,258483,217125
2020/11/08,255582,212652
2020/11/09,256669,215598
2020/11/10,260137,218479
2020/11/11,260415,218413
2020/11/12,258581,217256
2020/11/13,258085,216561
2020/11/14,255059,216131
2020/11/15,260605,221424
2020/11/16,261085,220914
2020/11/17,263099,221453
2020/11/18,265140,229936
2020/11/19,264540,232755
2020/11/20,262481,234962
2020/11/21,264258,235340
2020/11/22,262946,235361
2020/11/23,261897,234003
2020/11/24,255363,230359
2020/11/25,250627,205113
2020/11/26,249731,200640
2020/11/27,249815,204495
2020/11/28,250420,210889
2020/11/29,251554,217314
2020/11/30,254653,217175
2020/12/01,246256,210219
2020/12/02,246240,209727
2020/12/03,248371,208671
2020/12/04,246424,207555
2020/12/05,242661,203286
2020/12/06,242769,203504
2020/12/07,239948,204829
2020/12/08,240045,204523
2020/12/09,240961,204789
2020/12/10,245087,205052
2020/12/11,246389,206525
2020/12/12,246361,206767
2020/12/13,246354,207266
2020/12/14,245115,207186
2020/12/15,247772,204624
2020/12/16,247359,205174
2020/12/17,252389,219374
2020/12/18,255655,229098
2020/12/19,256142,231351
2020/12/20,254882,233179
2020/12/21,256197,233164
2020/12/22,256265,230833
2020/12/23,249522,216931
2020/12/24,244614,206955
2020/12/25,244720,199879
2020/12/26,244303,199788
2020/12/27,243576,198726
2020/12/28,243721,198595
2020/12/29,251808,200098
2020/12/30,258176,198943
2020/12/31,259705,196475
2021/01/01,216819,190784
2021/01/02,216559,200285
2021/01/03,215682,202628
2021/01/04,203548,184499
2021/01/05,204599,183162
2021/01/06,207875,179251
2021/01/07,214338,175436
2021/01/08,215981,174813
2021/01/09,219606,170086
2021/01/10,219739,169625
2021/01/11,219527,168528
2021/01/12,216955,169270
2021/01/13,221296,176838
2021/01/14,214877,176738
2021/01/15,214418,173775
2021/01/16,214551,173012
2021/01/17,210125,168660
2021/01/18,208531,160911
2021/01/19,211310,148016
2021/01/20,212877,142372
2021/01/21,213134,141759
2021/01/22,211817,139976
2021/01/23,208886,135934
2021/01/24,206223,133796
2021/01/25,203303,114072
2021/01/26,201253,113596
2021/01/27,195143,113286
2021/01/28,192930,113771
2021/01/29,182527,117322
2021/01/30,181596,118682
2021/01/31,168720,132816
2021/02/01,165869,160821
2021/02/02,163833,160498
2021/02/03,165222,159563
2021/02/04,165737,155978
2021/02/05,173477,151595
2021/02/06,177526,152317
2021/02/07,178965,143855
2021/02/08,178351,141450
2021/02/09,178330,139127
2021/02/10,173127,137935
2021/02/11,173201,138066
2021/02/12,150430,100823
2021/02/13,149090,102135
2021/02/14,148626,105042
2021/02/15,149447,107640
2021/02/16,147902,107518
2021/02/17,150819,109582
2021/02/18,151622,109324
2021/02/19,151445,109332
2021/02/20,152093,106814
2021/02/21,155165,105673
2021/02/22,163650,106158
2021/02/23,169779,106576
2021/02/24,179836,105245
2021/02/25,181399,104647
2021/02/26,183619,105174
2021/02/27,185603,106303
2021/02/28,185608,103512
2021/03/01,186543,107659
2021/03/02,187459,110995
2021/03/03,187537,111286
2021/03/04,185570,112138
2021/03/05,186844,111387
2021/03/06,189705,109522
2021/03/07,195346,112270
2021/03/08,200721,117867
2021/03/09,206097,120075
2021/03/10,206253,123329
2021/03/11,209643,127010
2021/03/12,206697,128486
2021/03/13,216607,130487
2021/03/14,213685,136978
2021/03/15,213990,143646
2021/03/16,211817,148701
2021/03/17,211684,150433
2021/03/18,215611,149265
2021/03/19,216978,151485
2021/03/20,218312,152156
2021/03/21,220545,151879
2021/03/22,223950,157660
2021/03/23,222034,157274
2021/03/24,222049,159685
2021/03/25,221472,160344
2021/03/26,219611,161773
2021/03/27,220933,163203
2021/03/28,219865,161103
2021/03/29,219443,162642
2021/03/30,217775,162795
2021/03/31,218865,163224
