日期,A厂,B厂
2020/11/01,272186,236361
2020/11/02,266976,243226
2020/11/03,268541,240503
2020/11/04,266992,236450
2020/11/05,267706,238724
2020/11/06,267772,236639
2020/11/07,268283,237201
2020/11/08,268799,235912
2020/11/09,268142,242740
2020/11/10,268321,243119
2020/11/11,267698,241506
2020/11/12,265891,239065
2020/11/13,265930,238655
2020/11/14,265967,237952
2020/11/15,266264,237972
2020/11/16,263913,243671
2020/11/17,264363,243293
2020/11/18,262819,239959
2020/11/19,260396,240179
2020/11/20,257341,237457
2020/11/21,257004,236448
2020/11/22,256513,231415
2020/11/23,250082,234998
2020/11/24,235827,231502
2020/11/25,228423,227966
2020/11/26,223426,223160
2020/11/27,221049,216910
2020/11/28,211901,212638
2020/11/29,209599,211484
2020/11/30,201311,213534
2020/12/01,203121,213877
2020/12/02,203802,212093
2020/12/03,203981,211789
2020/12/04,207235,211504
2020/12/05,207966,205648
2020/12/06,209631,204848
2020/12/07,212832,208627
2020/12/08,218491,208902
2020/12/09,218268,204749
2020/12/10,217602,205144
2020/12/11,213061,206739
2020/12/12,215038,203861
2020/12/13,214975,205080
2020/12/14,213789,207450
2020/12/15,216478,210711
2020/12/16,216953,206464
2020/12/17,214704,207968
2020/12/18,214004,205887
2020/12/19,214201,199938
2020/12/20,214653,200865
2020/12/21,214245,204541
2020/12/22,212890,205810
2020/12/23,212067,204261
2020/12/24,208600,203198
2020/12/25,205441,200125
2020/12/26,203000,199012
2020/12/27,203256,201416
2020/12/28,201548,205268
2020/12/29,199311,207330
2020/12/30,197273,201908
2020/12/31,188764,195182
2021/01/01,208238,197450
2021/01/02,209198,199443
2021/01/03,210127,199910
2021/01/04,209468,206134
2021/01/05,205372,211320
2021/01/06,204282,209505
2021/01/07,200794,212791
2021/01/08,205483,215498
2021/01/09,206545,212659
2021/01/10,210344,206655
2021/01/11,212601,210432
2021/01/12,209687,212313
2021/01/13,208915,213989
2021/01/14,204493,214779
2021/01/15,198223,210786
2021/01/16,207957,209046
2021/01/17,207225,210057
2021/01/18,209916,208233
2021/01/19,207329,205231
2021/01/20,205288,201768
2021/01/21,200053,194769
2021/01/22,208266,191032
2021/01/23,205951,181973
2021/01/24,206830,180116
2021/01/25,207355,177161
2021/01/26,203942,171388
2021/01/27,201320,166181
2021/01/28,199776,163484
2021/01/29,195741,158033
2021/01/30,192651,170068
2021/01/31,185140,168915
2021/02/01,187156,186157
2021/02/02,184469,181267
2021/02/03,184251,179842
2021/02/04,182576,173101
2021/02/05,181606,168794
2021/02/06,186094,161927
2021/02/07,187721,162502
2021/02/08,194209,159884
2021/02/09,188762,143778
2021/02/10,160846,148816
2021/02/11,163445,137548
2021/02/12,152340,115276
2021/02/13,169140,124065
2021/02/14,172024,129652
2021/02/15,172030,133828
2021/02/16,173728,136575
2021/02/17,196396,139990
2021/02/18,224182,169795
2021/02/19,240154,191069
2021/02/20,245978,192938
2021/02/21,247571,190965
2021/02/22,257723,208488
2021/02/23,259746,213270
2021/02/24,260930,213029
2021/02/25,266457,206985
2021/02/26,263237,215962
2021/02/27,270336,214955
2021/02/28,270554,226075
2021/03/01,272424,231201
2021/03/02,272707,237463
2021/03/03,277922,233545
2021/03/04,272933,232012
2021/03/05,270351,241852
2021/03/06,273073,238150
2021/03/07,275527,243053
2021/03/08,276489,250671
2021/03/09,274490,250945
2021/03/10,277354,252310
2021/03/11,271665,252756
2021/03/12,270601,249087
2021/03/13,267966,253298
2021/03/14,272367,254916
2021/03/15,270137,258342
2021/03/16,266324,259858
2021/03/17,271839,260729
2021/03/18,275290,258880
2021/03/19,273458,256283
2021/03/20,269238,251496
2021/03/21,270615,254817
2021/03/22,270015,257357
2021/03/23,268364,259830
2021/03/24,268461,260243
2021/03/25,267849,256362
2021/03/26,263989,256591
2021/03/27,268179,251439
2021/03/28,266085,253689
2021/03/29,271767,255784
2021/03/30,272094,255637
2021/03/31,273864,255448
